mcdiagnostickit.msi,"Windows XP Media Center Diagnostics Kit v3.0 (English)",51eb1301dd379660fe40d2ddb6e3d85e03e91bbd
mdk.exe,"Microsoft Modem Developer Kit (English)",d56619dc35e1b782b3220a0c0cab5baa54b52d41
meta_data_services_sdk_3.0.exe,"Meta Data Services SDK 3.0 (English)",113cc070222a8c9993ddf06c7a931464f0a6f55d
mi_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Maori)",b57d0e33cdd4ce8d31e75ddf867a011294f1e0a5
migrate.exe,"Microsoft Source Code Migration Tool (English)",f182f7e89f08a7c9fdf8efc9497e3d05d3149601
mk_sharepoint_server_2010_language_pack_with_service_pack_2_x64_4173505.exe,"SharePoint Server 2010 Language Pack with Service Pack 2 (x64) - (Macedonian)",2f9b0333f5a48c9f7cd6a08e6d7437717a87c752
mk_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Macedonian)",ea60d8664be18892cd7f3aa6a841cbf9e4ec2710
ml_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Malayalam)",990fa253341c0315a426ebbae04a1804985a9586
ml-in_captions_language_interface_pack_for_microsoft_visual_studio_2010_x86.msi,"Captions Language Interface Pack for Microsoft Visual Studio 2010 (x86) - (Malayalam-India)",490074502f43f443b8fef8925d03fc37c821041c
mn_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Mongolian)",b23b1117f88c9a57ba2fe03b153dc44879094dfe
mobileit.exe,"Microsoft Mobile Internet ToolKit (English)",555dc5f342d738feb362d86232430ecf9f83dd61
mr_office_language_pack_2010_x64_708549.exe,"Office 2010 Language Pack (x64) - (Marathi)",bc095ffd917c16ad5dc1136874d88e1acf9c21f2
mr_office_language_pack_2010_x86_708548.exe,"Office 2010 Language Pack (x86) - (Marathi)",25b4e94f1995cf3a36091a1f556b7492b2d39f77
mr_office_screen_tip_language_pack_2010_x64_708551.exe,"Office 2010 Screen Tip Language Pack (x64) - (Marathi)",2e689fd19e01d10987b925b0f6ecf626f2ecf69c
mr_ui_strings_glossary_october_2014_x86_x64_5643761.zip,"UI Strings Glossary October 2014 (x86 and x64) - (Marathi)",b1cf5db814f6b627002e392b87132c8a28e9957e
ms_access_2013_x64_1772647.exe,"Access 2013 (x64) - (Malay)",7a2b6e3a5eec61f3d1233c38e9a75fb98c0fbf6b
ms_access_2013_x86_1772634.exe,"Access 2013 (x86) - (Malay)",bfd378f0da6ef5ed7f9ccd0d24f072aa19be6d9e
ms_access_2013_x86_x64_dvd_1772661.iso,"Access 2013 (x86 and x64) - DVD (Malay)",8513deaf8f8c3605682c5f2f60775d4875946276
